product_id,product_name,brand,model,category,price,image_url,product_url,stock
1,"Vivo V11 Pro (6GB RAM, 64GB) - Supernova Red",Vivo,V11 Pro,Mobiles,28990,https://i.gadgets360cdn.com/products/large/1536222480_635_vivo_v11_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/vivo-v11-pro-5632,44
2,"Vivo V11 Pro (6GB RAM, 64GB) - Dazzling Gold",Vivo,V11 Pro,Mobiles,22654,https://i.gadgets360cdn.com/products/large/1536222480_635_vivo_v11_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/vivo-v11-pro-5632,45
3,"Vivo V11 Pro (6GB RAM, 64GB) - Starry Night Black",Vivo,V11 Pro,Mobiles,23990,https://i.gadgets360cdn.com/products/large/1536222480_635_vivo_v11_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/vivo-v11-pro-5632,5
4,"Redmi Note 5 Pro (4GB RAM, 64GB) - Red",Xiaomi,Redmi Note 5 Pro,Mobiles,11290,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,40
5,"Redmi Note 5 Pro (6GB RAM, 64GB) - Rose Gold",Xiaomi,Redmi Note 5 Pro,Mobiles,12900,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,10
6,"Redmi Note 5 Pro (4GB RAM, 64GB) - Rose Gold",Xiaomi,Redmi Note 5 Pro,Mobiles,14999,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,46
7,"Xiaomi Redmi 6 Pro (3GB RAM, 32GB) - Rose Gold",Xiaomi,Redmi 6 Pro,Mobiles,11399,https://i.gadgets360cdn.com/products/large/1529877080_635_xiaomi_redmi_6_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/xiaomi-redmi-6-pro-5523,13
8,"Xiaomi Redmi 6 Pro (3GB RAM, 32GB) - Black",Xiaomi,Redmi 6 Pro,Mobiles,11269,https://i.gadgets360cdn.com/products/large/1529877080_635_xiaomi_redmi_6_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/xiaomi-redmi-6-pro-5523,40
9,"Redmi Note 5 Pro (6GB RAM, 64GB) - Red",Xiaomi,Redmi Note 5 Pro,Mobiles,14000,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,48
10,"Xiaomi Redmi 6 Pro (3GB RAM, 32GB) - Gold",Xiaomi,Redmi 6 Pro,Mobiles,11399,https://i.gadgets360cdn.com/products/large/1529877080_635_xiaomi_redmi_6_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/xiaomi-redmi-6-pro-5523,50
11,"Redmi Note 5 Pro (6GB RAM, 64GB) - Blue",Xiaomi,Redmi Note 5 Pro,Mobiles,12999,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,41
12,"Redmi Note 5 Pro (4GB RAM, 64GB) - Blue",Xiaomi,Redmi Note 5 Pro,Mobiles,11999,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,48
13,"Redmi Note 5 Pro (4GB RAM, 64GB) - Black",Xiaomi,Redmi Note 5 Pro,Mobiles,12499,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,8
14,"Redmi Note 5 Pro (6GB RAM, 64GB) - Gold",Xiaomi,Redmi Note 5 Pro,Mobiles,11990,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,45
15,"Redmi Note 5 Pro (4GB RAM, 64GB) - Gold",Xiaomi,Redmi Note 5 Pro,Mobiles,10990,https://i.gadgets360cdn.com/products/large/1518591378_635_xiaomi_redmi_note_5_pro_141818_121802_6529.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/redmi-note-5-pro-4607,49
16,"Xiaomi Redmi 6 Pro (4GB RAM, 64GB) - Rose Gold",Xiaomi,Redmi 6 Pro,Mobiles,13349,https://i.gadgets360cdn.com/products/large/1529877080_635_xiaomi_redmi_6_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/xiaomi-redmi-6-pro-5523,39
17,"Xiaomi Redmi 6 Pro (4GB RAM, 64GB) - Gold",Xiaomi,Redmi 6 Pro,Mobiles,8999,https://i.gadgets360cdn.com/products/large/1529877080_635_xiaomi_redmi_6_pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/xiaomi-redmi-6-pro-5523,35
