url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Launched,Front camera,Screen size (inches),Touchscreen,Rear camera,Wi-Fi,Internal storage,Bluetooth,Resolution,Operating system,Expandable storage,Accelerometer,Processor,GPS,Ambient light sensor,Gyroscope,Removable battery,RAM,Compass/ Magnetometer,Proximity sensor,Barometer,Wi-Fi Direct,FM,USB OTG,Headphones,NFC,Temperature sensor,Infrared,Mobile High-Definition Link (MHL),Expandable storage type,Processor make,Wi-Fi standards supported,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Number of SIMs,Rear Flash,3G,4G/ LTE,Supports 4G in India (Band 40),Pixels per inch (PPI),GSM/CDMA,SIM Type,Form factor,Sim 2 3G,other_info
https://gadgets.ndtv.com/lenovo-tab-7-4517,https://drop.ndtv.com/TECH/product_database/images/1115201762259PM_635_lenovo_tab_7.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,"Lenovo Tab 7 Tablet (16GB, 7.6 Inches, WI-FI, Black)",Tab 7,"₹ 8,799",70,19,13,7,21,40,November 2017,2-megapixel,6.98,No,5-megapixel,Yes,16GB,Yes,1280x720 pixels,Android 7.0,Yes,Yes,1.3GHz quad-core,Yes,Yes,No,No,2GB,No,Yes,No,No,No,Yes,3.5mm,No,No,No,No,microSD,MediaTek,802.11 b/g/n,260.00,,3500,128,4.00,Slate Black,2,No,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'Yes', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'Yes', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'Yes', 'Sim 2 4G/ LTE': 'Yes', 'Sim 1 SIM Type': 'Nano-SIM', 'Sim 2 SIM Type': 'Nano-SIM', 'Front Flash': 'No', 'Thickness': '8.4'}"
https://gadgets.ndtv.com/swipe-slice-1789,https://drop.ndtv.com/TECH/product_database/images/7232014104618AM_635_swipe_slice.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Swipe,"Swipe Slice Tablet (4GB, 7 Inches, WI-FI, Black)",Slice,"₹ 2,990",174,35,8,16,12,29,July 2014,0.3-megapixel,7.00,No,2-megapixel,Yes,4GB,Yes,480x800 pixels,Android 4.2.2,Yes,Yes,1.3GHz dual-core,Yes,No,No,No,512MB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,MediaTek MT8312,802.11 b/g/n,,189.00 x 108.00 x 10.00,3000,32,4.00,"Black, White, Yellow, Red, Blue",2,No,,,,,,,,No,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'No', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/swipe-slice-1789,https://drop.ndtv.com/TECH/product_database/images/7232014104618AM_635_swipe_slice.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Swipe,"Swipe Slice Tablet (4GB, 7 Inches, WI-FI, White)",Slice,"₹ 3,389",174,35,8,16,12,29,July 2014,0.3-megapixel,7.00,No,2-megapixel,Yes,4GB,Yes,480x800 pixels,Android 4.2.2,Yes,Yes,1.3GHz dual-core,Yes,No,No,No,512MB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,MediaTek MT8312,802.11 b/g/n,,189.00 x 108.00 x 10.00,3000,32,4.00,"Black, White, Yellow, Red, Blue",2,No,,,,,,,,No,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'No', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/lenovo-tab-2-a8-lte-2449,https://cdn.gadgets360.com/content/assets/products/lenovo-tab-2-a8-lte-2449_960X480_1438858212.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,"Lenovo Tab 2 A8-50LC Tablet (16GB, 8 Inches, WI-FI, Blue)",Tab 2 A8 LTE,"₹ 15,000",44,16,7,18,9,50,June 2015,2-megapixel,8.00,No,5-megapixel,Yes,8GB,Yes,1280x720 pixels,Android 5.0,Yes,Yes,1.3GHz quad-core,No,Yes,No,No,1GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,MediaTek MT8735,802.11 a/b/g/n,360.00,125.00 x 210.00 x 8.90,4290,32,4.00,"Pearl White, Ebony, Midnight Blue, Neon Pink",2,,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Micro-SIM', 'Sim 2 SIM Type': 'Micro-SIM'}"
https://gadgets.ndtv.com/karbonn-st72-2161,https://drop.ndtv.com/TECH/product_database/images/11202014115428AM_635_karbonn_st72.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Karbonn,"Karbonn ST-72 Tablet (4GB, 7 Inches, WI-FI, White)",ST72,"₹ 4,499",6,17,17,33,17,17,November 2014,3.2-megapixel,7.00,No,3.2-megapixel,Yes,4GB,Yes,1024x600 pixels,Android 4.4.2,Yes,Yes,1.3GHz quad-core,Yes,Yes,No,No,512MB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,290.00,184.50 x 100.00 x 8.90,2800,32,4.00,"Black, White, Grey",2,LED,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-slide-3g-9017-d50-2098,https://drop.ndtv.com/TECH/product_database/images/1028201443504PM_635_iball_slide_3g_9017_d50.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 9017-D50 Tablet (8GB, 9 Inches, WI-FI, Black)",Slide 3G 9017-D50,"₹ 10,000",37,24,3,22,22,30,October 2014,2-megapixel,9.00,No,2-megapixel,Yes,8GB,Yes,600x1024 pixels,Android 4.4,Yes,Yes,1.3GHz dual-core,Yes,Yes,No,No,1GB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,511.00,245.00 x 156.00 x 11.00,4000,32,4.00,Black,2,No,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/karbonn-ta-fone-a34-1439,https://drop.ndtv.com/TECH/product_database/images/41201412029PM_635_karbonn_ta_fone_a34.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Karbonn,"Karbonn TA-FONE-A34 Tablet (2GB, 7 Inches, WI-FI, White)",Ta-Fone A34,"₹ 4,100",4,75,25,0,0,0,April 2013,0.3-megapixel,7.00,No,2-megapixel,Yes,4GB,Yes,800x480 pixels,Android 4.0,Yes,Yes,1GHz one-core,Yes,No,No,No,1GB,No,No,No,No,Yes,No,3.5mm,No,No,No,No,microSD,Cortex-A9,802.11 b/g/n,335.00,124.00 x 197.00 x 12.30,3000,32,,,2,No,,,,133,,,,No,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'No', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-slide-3g-9017-d50-2098,https://drop.ndtv.com/TECH/product_database/images/1028201443504PM_635_iball_slide_3g_9017_d50.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 9017-D50 Tablet (8GB, 9 Inches, WI-FI, Blue)",Slide 3G 9017-D50,"₹ 7,999",37,24,3,22,22,30,October 2014,2-megapixel,9.00,No,2-megapixel,Yes,8GB,Yes,600x1024 pixels,Android 4.4,Yes,Yes,1.3GHz dual-core,Yes,Yes,No,No,1GB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,511.00,245.00 x 156.00 x 11.00,4000,32,4.00,Black,2,No,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/asus-fonepad-8-fe380cg-1656,https://drop.ndtv.com/TECH/product_database/images/62201435006PM_635_asus_fonepad_8.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,"Asus Fonepad 8 FE380CG-1A071A Tablet (16GB, 8 Inches, WI-FI, Black)",Fonepad 8 (FE380CG),"₹ 14,490",179,8,3,8,32,48,June 2014,2-megapixel,8.00,No,5-megapixel,Yes,16GB,Yes,1280x800 pixels,Android 4.4,Yes,Yes,1.3GHz quad-core,Yes,Yes,Yes,No,2GB,Yes,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,Intel Atom Z3530,802.11 b/g/n,310.00,120.00 x 214.00 x 8.90,4000,64,4.00,,2,,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Skin': 'ZenUI', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-slide-q27-4g-3833,https://drop.ndtv.com/TECH/product_database/images/1018201692405AM_635_iball_slide_q27_4g.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide Q27 Tablet (16GB, 10.1 Inches, WI-FI, Charcoal Black)",Slide Q27 4G,"₹ 11,399",107,21,3,9,17,50,October 2016,5-megapixel,10.10,No,5-megapixel,No,16GB,Yes,800x1280 pixels,Android 6.0,Yes,Yes,1.3GHz quad-core,Yes,Yes,No,No,2GB,Yes,Yes,No,Yes,Yes,Yes,,No,No,No,No,microSD,ARM Cortex A53,802.11 b/g/n,,,5500,32,4.00,,2,LED,,,,149,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'Yes', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'Yes', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'Yes', 'Sim 2 4G/ LTE': 'Yes', 'Sim 1 SIM Type': 'Micro-SIM', 'Sim 2 SIM Type': 'Regular', 'Front Flash': 'LED'}"
